Code	Qty	Total Sell	Date	Description	Color	Color - Long	Cost	Family	Invoice ID	Product ID	Sell	Size	Store ID	User	Station	Posted Date
SD001717-BE-L	1.00	19.00	6/19/15	Comfort Soft S/S, BE, L	Berry		4.22	T-Shirt	I-51675	P-3151	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-NY-M	1.00	19.00	6/19/15	Comfort Soft S/S, NY, M	Navy		4.17	T-Shirt	I-51676	P-3145	19.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006030-WA-L	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, WA, L	WA		4.78	T-Shirt	I-51676	P-3479	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00070PS	1.00	2.99	6/19/15	Can Holder - Magenta	Magenta		0.84	Product	I-51676	P-2035	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001717-LG-L	1.00	19.00	6/19/15	Comfort Soft S/S, LG, L	Light Green		4.21	T-Shirt	I-51677	P-3158	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SDNTRTAD-YE-L	1.00	15.00	6/19/15	Tank Top - Simple Dog, YE, L	YE		4.89	Tank Top	I-51678	P-7299	15.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD002214-NY-S	1.00	16.00	6/19/15	Youth L/S, NY, S	Navy		3.54	T-Shirt	I-51679	P-3972	16.00	S (6-8)	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP2214FD-RE-S	1.00	16.00	6/19/15	Youth Football Dog L/S, RE, S	Red		4.83	Specialty Prints	I-51679	P-2686	16.00	S (6-8)	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD003311-NY-5/6T	1.00	13.00	6/19/15	Toddler T L/S, NY, 5/6T	NY		2.78	Infant / Toddler	I-51679	P-1590	13.00	5/6T	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005180-AB-L	1.00	17.00	6/19/15	Hanes Beefy S/S, AB, L	Aquatic Blue		3.33	T-Shirt	I-51680	P-3223	17.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0M1276CO	1.00	6.99	6/19/15	Bistro Mug - Cobalt - 16 oz	Cobalt		2.49	Product	I-51680	P-2056	6.99	16 oz	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
689076893978	1.00	4.50	6/19/15	Bottle Suit - Navy	Navy		1.56	Product	I-51680	P-2036	4.50	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
CWG5000-2283C-L	1.00	12.00	6/19/15	Color of the Week, Neon Green, L	2283C	Neon Green	2.40	T-Shirt	I-51680	P-7716	12.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180RC-DM-L	1.00	15.00	6/19/15	Racer Dog S/S, DM, L	DM		3.38	Specialty Prints	I-51680	P-7010	15.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD006030-NY-L	1.00	19.00	6/19/15	Comfort Soft S/S-Pocket, NY, L	Navy		4.78	T-Shirt	I-51680	P-3474	19.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD00070PS	1.00	2.99	6/19/15	Can Holder - Magenta	Magenta		0.84	Product	I-51681	P-2035	2.99	OSFA	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0882L-HP-S	1.00	15.00	6/19/15	Tank Top - Women's, HP, S	HP		3.13	T-Shirt	I-51681	P-7215	15.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5180RC-DM-M	1.00	15.00	6/19/15	Racer Dog S/S, DM, M	DM		3.22	Specialty Prints	I-51682	P-7009	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD0A986-NY-M	1.00	15.00	6/19/15	Tank Top - Men's, NY, M	NY		4.00	T-Shirt	I-51682	P-7115	15.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
816555011565	1.00	9.99	6/19/15	Toy - Gnawligator - Green			4.99	Pet	I-51683	P-1973	9.99		The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SPSL04PL-NY-S	1.00	15.00	6/19/15	Women's Plaid Dog, NY, S	Navy		3.50	Specialty Prints	I-51683	P-2651	15.00	S	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SP5370SP-KG-M	1.00	14.00	6/19/15	Youth St. Patty S/S, KG, M	Kelly Green		2.65	Specialty Prints	I-51684	P-6057	14.00	M	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD005380-LI-L	1.00	15.00	6/19/15	Youth Beefy S/S, LI, L	Lime		3.17	T-Shirt	I-51684	P-4043	15.00	L (14-16)	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
SD001566-IR-L	1.00	28.00	6/19/15	Sweatshirt-Stonewash, IR, L (20% OFF Sweatshirts)	IR	Island Reef	8.82	Sweatshirt	I-51685	P-7598	28.00	L	The Salty Dog - HHI, SC	Hailey M	Tanger 2	6/19/15
